################################################################################
# HI-MaNGA: HI Followup for the MaNGA Survey
# Observed under code: AGBT17A_012
# Masters, K.L. et al. in prep.
################################################################################
# Telescope:   Robert C. Bryd Green Bank Telescope
# Beam Size FWHM [arcminutes]: 9.0 
# Object (MaNGA plate-ifu format): 8601-9102
# RA Dec (J2000): 16 41 37.3  +40 09 50
# Rest Frequency [MHz]:  1420.4058
# Central velocity [km/s]: 10083.9  
# Integration time [seconds]: 698.6   
# Date(s) of observations (UT): 2017-10-13 
####################################################################################
# ASCII Table
# Generated by D. V. Stark  Thu May 16 21:12:05 2019
# The spectrum is baselined and Hanning smoothed
# Columns are: Velocity of HI (km/s), Flux (Jy), Pre-baseline subtracted flux (Jy)
####################################################################################
# vHI,fHI,fBHI
       7633.0853 -0.000652867    -0.615860
       9395.7643   0.00597721    -0.626124
       9400.9029   0.00545937    -0.626636
       9406.0416   0.00386774    -0.628221
       9411.1806   0.00400881    -0.628073
       9416.3197   0.00353911    -0.628535
       9421.4590   0.00173297    -0.630333
       9426.5984  -0.00153467    -0.633593
       9431.7380  -0.00180153    -0.633851
       9436.8778   0.00336650    -0.628674
       9442.0178   0.00755796    -0.624473
       9447.1579   0.00594403    -0.626077
       9452.2982   0.00240714    -0.629604
       9457.4387   0.00115925    -0.630842
       9462.5793  0.000101875    -0.631888
       9467.7202  2.83585e-05    -0.631951
       9472.8611   0.00153815    -0.630429
       9478.0023 -0.000141932    -0.632098
       9483.1436  -0.00220695    -0.634151
       9488.2851 -0.000788979    -0.632720
       9493.4268  0.000652190    -0.631266
       9498.5686  -0.00112623    -0.633032
       9503.7106  -0.00381962    -0.635712
       9508.8528  -0.00215855    -0.634038
       9513.9952  3.16652e-05    -0.631834
       9519.1377 -0.000504562    -0.632356
       9524.2804  0.000465479    -0.631372
       9529.4233   0.00279267    -0.629030
       9534.5663   0.00259484    -0.629213
       9539.7095 -0.000760751    -0.632554
       9544.8529  -0.00172592    -0.633504
       9549.9965 -0.000477457    -0.632240
       9555.1402 -0.000598056    -0.632345
       9560.2841  0.000340225    -0.631392
       9565.4281  0.000683364    -0.631033
       9570.5724  -0.00203298    -0.633733
       9575.7168  -0.00239563    -0.634080
       9580.8614  0.000450631    -0.631217
       9586.0061   0.00144717    -0.630204
       9591.1510   0.00221560    -0.629419
       9596.2961   0.00404714    -0.627571
       9601.4414   0.00236352    -0.629238
       9606.5868 -0.000764663    -0.632349
       9611.7324 -0.000436457    -0.632004
       9616.8782  -0.00190130    -0.633452
       9622.0241  -0.00511340    -0.636647
       9627.1703  -0.00328413    -0.634801
       9632.3165 -0.000939283    -0.632439
       9637.4630  -0.00173409    -0.633216
       9642.6096  -0.00219574    -0.633661
       9647.7564  -0.00243735    -0.633885
       9652.9034  -0.00312040    -0.634551
       9658.0506  -0.00311801    -0.634531
       9663.1979 -0.000962639    -0.632358
       9668.3454  -0.00105196    -0.632431
       9673.4930  -0.00547828    -0.636840
       9678.6409  -0.00599211    -0.637336
       9683.7889  -0.00284177    -0.634169
       9688.9370  -0.00254572    -0.633856
       9694.0854 -0.000817977    -0.632111
       9699.2339   0.00277832    -0.628497
       9704.3826   0.00194625    -0.629313
       9709.5314  0.000400804    -0.630841
       9714.6805  0.000585771    -0.630640
       9719.8297 -0.000450100    -0.631659
       9724.9790  -0.00117419    -0.632366
       9730.1286  -0.00112239    -0.632298
       9735.2783  -0.00242010    -0.633580
       9740.4282  -0.00286526    -0.634009
       9745.5782  -0.00132234    -0.632450
       9750.7285  0.000535695    -0.630576
       9755.8789   0.00144308    -0.629653
       9761.0294 -0.000234650    -0.631315
       9766.1802  -0.00255867    -0.633624
       9771.3311  -0.00242082    -0.633471
       9776.4822 -0.000530691    -0.631566
       9781.6334  0.000207491    -0.630813
       9786.7849 -0.000579865    -0.631586
       9791.9365  -0.00106206    -0.632054
       9797.0882 -0.000262210    -0.631240
       9802.2402  0.000550102    -0.630414
       9807.3923 -0.000593019    -0.631544
       9812.5446  -0.00327636    -0.634214
       9817.6970  -0.00325725    -0.634182
       9822.8497  0.000889411    -0.630022
       9828.0025   0.00495124    -0.625948
       9833.1554   0.00495209    -0.625935
       9838.3086   0.00255899    -0.628316
       9843.4619   0.00226197    -0.628602
       9848.6154   0.00240103    -0.628452
       9853.7690   0.00450989    -0.626332
       9858.9229   0.00508177    -0.625750
       9864.0769 -0.000919261    -0.631741
       9869.2310  -0.00360323    -0.634415
       9874.3854 -0.000788727    -0.631591
       9879.5399  0.000815287    -0.629978
       9884.6946  0.000357603    -0.630427
       9889.8494  1.36192e-05    -0.630763
       9895.0045   0.00159610    -0.629173
       9900.1597   0.00384102    -0.626920
       9905.3151   0.00442941    -0.626325
       9910.4706   0.00491367    -0.625834
       9915.6263   0.00317273    -0.627569
       9920.7822  0.000159678    -0.630576
       9925.9383 -0.000388456    -0.631119
       9931.0945  -0.00143449    -0.632160
       9936.2509  -0.00137123    -0.632093
       9941.4075  0.000392907    -0.630325
       9946.5642  -0.00135015    -0.632064
       9951.7211  -0.00484474    -0.635556
       9956.8782  -0.00379237    -0.634501
       9962.0355 -0.000174763    -0.630882
       9967.1929  0.000627869    -0.630078
       9972.3505 -0.000124483    -0.630829
       9977.5083 -0.000652193    -0.631357
       9982.6663  -0.00209257    -0.632797
       9987.8244  -0.00100022    -0.631706
       9992.9827   0.00212638    -0.628580
       9998.1411   0.00120192    -0.629507
       10003.300 -0.000773641    -0.631485
       10008.459 -0.000778757    -0.631493
       10013.618  -0.00203982    -0.632757
       10018.777  -0.00224494    -0.632967
       10023.936 -0.000582468    -0.631309
       10029.096   0.00102732    -0.629704
       10034.255   0.00381442    -0.626923
       10039.415   0.00414285    -0.626601
       10044.575  0.000680572    -0.630071
       10049.735  -0.00205069    -0.632810
       10054.896  -0.00306082    -0.633829
       10060.056  -0.00287393    -0.633651
       10065.217  -0.00156148    -0.632348
       10070.378 -0.000186861    -0.630984
       10075.539  -0.00145374    -0.632262
       10080.700  -0.00347484    -0.634295
       10085.861  -0.00196173    -0.632794
       10091.023 -0.000165113    -0.631010
       10096.185  0.000778350    -0.630081
       10101.347   0.00271480    -0.628159
       10106.509   0.00193911    -0.628949
       10111.671  -0.00214168    -0.633046
       10116.833  -0.00345080    -0.634372
       10121.996  -0.00209476    -0.633033
       10127.159 -0.000912934    -0.631869
       10132.322  0.000546419    -0.630428
       10137.485   0.00157109    -0.629423
       10142.648  0.000869992    -0.630144
       10147.811 -0.000590622    -0.631626
       10152.975  1.93421e-05    -0.631038
       10158.139   0.00171230    -0.629367
       10163.303  0.000834791    -0.630268
       10168.467  -0.00134098    -0.632468
       10173.631  -0.00367411    -0.634825
       10178.796  -0.00552672    -0.636703
       10183.960  -0.00389614    -0.635099
       10189.125  -0.00160925    -0.632839
       10194.290  -0.00113052    -0.632388
       10199.455  -0.00161003    -0.632897
       10204.621  -0.00165864    -0.632975
       10209.786  -0.00117150    -0.632518
       10214.952  -0.00121242    -0.632590
       10220.118  -0.00229937    -0.633708
       10225.284  -0.00353530    -0.634977
       10230.450  -0.00201376    -0.633489
       10235.616 -0.000151943    -0.631661
       10240.783  0.000430447    -0.631114
       10245.950   0.00136545    -0.630215
       10251.117   0.00130219    -0.630315
       10256.284   0.00251048    -0.629144
       10261.451   0.00231914    -0.629374
       10266.618  -0.00152506    -0.633258
       10271.786  -0.00191589    -0.633688
       10276.954  0.000779576    -0.631034
       10282.122  0.000256939    -0.631598
       10287.290  -0.00192972    -0.633828
       10292.458 -0.000821471    -0.632763
       10297.626 -0.000789002    -0.632775
       10302.795  -0.00321633    -0.635248
       10307.964  -0.00287720    -0.634955
       10313.133  -0.00181306    -0.633937
       10318.302  -0.00177409    -0.633946
       10323.471 -0.000501975    -0.632723
       10328.641  0.000590407    -0.631680
       10333.810 -4.27997e-06    -0.632325
       10338.980 -0.000543074    -0.632915
       10344.150  -0.00156158    -0.633986
       10349.320  -0.00336486    -0.635843
       10354.491  -0.00189508    -0.634427
       10359.661   0.00140736    -0.631179
       10364.832   0.00308103    -0.629561
       10370.003   0.00289491    -0.629804
       10375.174  0.000714824    -0.632042
       10380.345 -0.000238424    -0.633053
       10385.516 -0.000127973    -0.633002
       10390.688 -0.000419083    -0.633353
       10395.860 -0.000142463    -0.633138
       10401.031   0.00165377    -0.631404
       10406.203   0.00424495    -0.628875
       10411.376   0.00325312    -0.629931
       10416.548   0.00169152    -0.631557
       10421.721   0.00277218    -0.630542
       10426.893   0.00226916    -0.631112
       10432.066   0.00163982    -0.631808
       10437.239   0.00252932    -0.630987
       10442.413   0.00271466    -0.630871
       10447.586   0.00134233    -0.632313
       10452.760 -5.86666e-05    -0.633785
       10457.934  0.000452742    -0.633345
       10463.108   0.00199798    -0.631873
       10468.282   0.00395210    -0.629992
       10473.456   0.00408923    -0.629929
       10478.630   0.00275988    -0.631334
       10483.805   0.00292106    -0.631249
       10488.980   0.00298196    -0.631265
       10494.155   0.00337711    -0.630948
       10499.330   0.00512490    -0.629279
       10504.505   0.00389453    -0.630589
       10509.681  0.000567599    -0.633996
       10514.857 -0.000380955    -0.635026
       10520.033 -1.65682e-05    -0.634744
       10525.209   0.00114571    -0.633665
       10530.385   0.00355811    -0.631337
       10535.561   0.00617056    -0.628809
       10540.738   0.00621132    -0.628854
       10545.914   0.00421517    -0.630937
       10551.091   0.00296958    -0.632270
       10556.268   0.00106369    -0.634264
       10561.446 -0.000362264    -0.635779
       10566.623   0.00106101    -0.634446
       10571.801   0.00243665    -0.633161
       10576.978   0.00103769    -0.634651
       10582.156  0.000464716    -0.635317
       10587.334   0.00231549    -0.633559
       10592.513   0.00249892    -0.633470
       10597.691   0.00111078    -0.634953
       10602.870  0.000880736    -0.635278
       10608.049  0.000299819    -0.635956
       10613.228  0.000791504    -0.635561
       10618.407   0.00294408    -0.633507
       10623.586   0.00182044    -0.634729
       10628.765 -0.000799338    -0.637448
       10633.945 -0.000842533    -0.637592
       10639.125   0.00122242    -0.635628
       10644.305   0.00250349    -0.634449
       10649.485   0.00140094    -0.635654
       10654.665  0.000212359    -0.636946
       10659.846  0.000288130    -0.636974
